GO,Tdro,Ajap,Pvin,Pqin,Tele,Gfla,Lhet,Cchi,Asoj,Nvit,Ppup,Acal,Aful,Csol,Pven,Lbou,Hheb,Btre,Vvel
GO:0043565,13363.53703,20705.1847081169,18975.884541702,36162.05025054,36209.558950668,15083.48894976,8990.00246633,35352.220333332,17280.3369508297,7679.937183714899,15850.3451322816,34596.887881896,14165.7871554528,36777.2265399,33927.641580807,17126.9857230926,14947.540108604,6613.9290231172,31415.496379449
GO:0044212,12423.002954,19825.0075043498,17805.901617372,33028.43755032599,37094.135754519,12751.9847763,8023.503297910001,33712.47804639,17192.1450580503,6663.976500352401,15263.1441813272,32787.70736901,13866.6739360032,11018.777453607,33454.45462476,16517.523046815,14066.710835504,3708.9445061784,26428.311846342
GO:0044422,598699.109514,887554.9670847101,398558.31144294,741493.70720514,879108.26741523,421432.232298,372451.7652815,546557.5637772001,1068455.1644468,533886.30479999,700482.46509096,975133.3091226598,587887.89476256,322542.64352255,583090.39715004,677438.78659592,522618.17254076,110467.221594796,436279.31636058
GO:0044424,688184.7543220001,1049823.29673844,486209.86871061,931173.73178356,1075840.84203327,545514.698652,417723.425264,690034.68639126,1189942.39131053,627603.00695563,833367.97930264,1176984.14755926,724730.99002848,377278.49162509,739586.6447853,876580.6481376999,605245.8174919599,127324.800168736,547120.19711685
GO:0044428,267585.8114,413514.47363434,179806.20491856,334256.71807818,359575.3256643,190405.4693541,101669.77758315,234609.70007136,458825.97795468895,253321.41775365,300735.73578616,426607.20147687,260612.64261264,97989.81085267,285823.1348466,231034.7491404,218436.83069704,69088.52685402,204060.89468289
GO:0044446,594067.234588,883174.30160958,396375.11711358,736758.3140298,865449.48707451,417236.795745,371460.5686875,538845.54142368,1062831.8054745202,532612.58829943,698141.7411953601,966766.56191754,584941.2078403201,314082.77946441,578925.6335846101,672681.45939004,518269.57312892,110134.344973572,415212.49706139
GO:0044464,706577.8238179999,1060228.35520587,497365.60307214,951629.65256262,1104397.19653149,565882.287894,423586.740496,735027.56870892,1218025.23952693,642163.0226496401,845635.15940872,1195025.41227969,740839.8551721601,389459.93754107,757701.99019788,889300.56721334,616407.75072032,128257.418220372,599893.9589319599
GO:0045184,241797.218682,434302.05553634,153804.29288697,251620.36262122,246389.15071845,118489.1191176,94355.1195381,155800.40739162,570461.52993563,228898.743202847,311357.02445504,410138.40734697,281214.2577744,36024.145832334,211843.46241318,154113.582721988,244989.49892164,31746.642431108,94749.387575913
GO:0045892,54367.04189399999,86933.51061801899,34888.90193933099,76708.11678151599,86193.323016984,67257.1905852,24591.2764869,67031.736099882,74995.368412157,33674.822642794,61780.91116474401,90928.733191341,62202.31737331201,43058.932644948,78932.623371537,44913.71415049001,47715.059262484,10749.474779914,75152.884631706
GO:0045934,77417.621622,125580.974132341,47906.588168043,98024.799286342,111132.032525379,77803.6664097,32684.394599,84339.781299582,122504.066512822,48009.798180291,80617.68361982399,122686.04846235,90882.23249376,46677.723251676,100623.970348317,61100.571018406,61118.03164381599,16039.2159885628,87405.600087561
GO:0046907,255160.278332,454523.70820899,175459.51415718,287892.26929682,288683.56203156,142263.5938647,104008.54028365,181359.31074186,592054.39187732,241371.290143681,329004.25701512,442942.5612053701,295237.42958112,42554.323759728,229355.56314294,171793.913513858,268005.79847884,36890.257894872,124959.40526769
GO:0048519,339043.725626,620792.2279887999,262915.08674178,456018.9324751199,564602.6681946,233062.035822,148960.565009,357631.00120446,717263.0607526901,326896.44913811,421075.89166656,626803.13438424,422191.52661792,129990.94823341,365854.71043758,500643.0378497,326207.9790891199,55386.83578036,284844.1824081
GO:0048523,213738.206684,356374.19352011,147581.593921872,315285.8703286001,421530.64330905,188383.23042,95261.4382482,256110.94698222,313827.192611502,190405.162646314,218523.34872184,374279.45462949,254595.897413088,117117.59583546,236218.62452292,419941.91891978,176736.76329972,38620.029749344,241159.23577662
GO:0050657,9300.412636,24196.5995538236,7216.7670584658,28344.331700628,23803.762216257,18379.73177964,7320.546372364999,16281.88909332,23304.8005287977,10351.0593056363,18113.286621616,22221.963724392,16801.5717909504,6841.180595485501,14821.4983083804,12384.4505727848,14879.722317528,2420.5280476092003,11778.278415603
GO:0050658,9273.918046,24196.5995538236,7216.6656764433,28344.331700628,23803.762216257,18379.73177964,7320.546372364999,16281.88909332,23304.8005287977,10351.0593056363,18113.286621616,22221.963724392,16801.5717909504,6840.9198616319,14821.4983083804,12384.4505727848,14879.722317528,2420.5280476092003,11778.123728301
GO:0050789,485316.728928,776317.74760342,337184.36905593,674368.19394908,818844.1408323,405723.710238,236079.792166,559255.8215634599,863889.0193706,439822.26913975,607593.12793496,859708.0458682199,544365.48170304,238492.71169372,535809.63920796,725596.6139028001,438023.9336095999,74460.220780604,439206.3523806
GO:0050794,356638.6635,599585.5048474501,271256.72067945,586002.79367344,710008.34698161,363650.683242,198382.074107,511348.29015762,604672.837345,349826.92840451,473548.56988944,678433.80808881,431321.09774304,227029.91125155,447046.06373973,679346.9778988201,347326.81020388,65488.233260968,396875.14959036
GO:0051028,5245.499177999999,11721.5308246093,3951.0927739272,13144.5463704836,7547.0420154645,5010.683245259999,2996.375546275,7616.6046786456,7583.9838414294,4653.3371262392,6780.939743334401,10851.9769239222,7792.639096694399,1509.2436082933,7710.949108625101,7305.6309536108,6456.156239136,1281.53856504108,5228.3007195825
GO:0051168,17730.179628,22287.9732703457,5419.943693247601,26226.137175958,27958.795078905,44960.6444826,11279.369689985,17933.525509362,28580.8578297255,13136.160826507,16514.021007968,28119.665888118,19808.064193968,2381.1775864833,13512.7551135837,17015.6855337772,18038.868630744,3621.4514111556,11014.903289586
GO:0051169,27940.95592399999,38662.082514063,14507.0098981038,39681.595058682,40743.107679393,48253.0722366,15605.38869275,25974.161585406,47001.188853666405,20990.9368149393,29275.706972096,47166.199587963,29659.832496192,3872.4537951847,25114.196036826,24225.01207948,26838.713454292,5211.0273330972,20715.885725451
GO:0051171,241759.266972,410782.90999195,173092.16272062,368715.9738623,385850.91554199,216771.5840598,134534.0722112,308392.35433146,380081.65633812896,174746.894478232,301586.27050552,413358.08177511,285831.76555776,144648.54151066,310574.73964218,499153.34096248,210946.1545148,47918.848424492,246414.52069416
GO:0051172,128441.093996,209601.961577074,86734.019002752,167318.135141698,185446.443912174,121985.4589107,52007.67651980001,157440.389937,194044.006384059,86909.75415696201,126315.574233696,206027.895434892,148664.477617824,61034.037987428,147917.536683774,290593.57898726,104726.753064976,23210.386647468,138659.38846935
GO:0051179,440531.133276,632568.1292401899,264089.33095347,501098.6148327201,624664.01675034,262941.498897,274286.095026,370674.3795102,750807.3480394899,352446.22798415,489688.0575593601,684198.69632964,430491.6032803201,156386.65353135,372751.9066061701,543270.6710002,364604.35916104,54950.86871578,318809.22758622
GO:0051234,421491.69126,596726.95054936,238788.391644,439418.7671014401,532704.93542901,233812.672401,262031.3894565,298876.46048154,715012.20600128,318818.15822513,430758.75104656,616493.85558198,407675.08744128,137667.35829825,333575.34933099,516583.25284486,344213.8472078399,49884.14165477999,261856.88414277
